City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Meulaboh,ID,78.89,light rain,4.1363,96.1285,Kost Pria
12,Katsuura,JP,84.22,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
14,Kupang,ID,82.9,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
15,Hambantota,LK,75.54,moderate rain,6.1241,81.1185,Bungalow 63
16,Bani Walid,LY,77.05,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
29,Faanui,PF,78.69,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
41,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Hamilton,US,79.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
46,Empalme,MX,88.92,broken clouds,27.9667,-110.8167,Casa de la mary
51,Tura,IN,79.16,light rain,25.5198,90.2201,Hotel RIKMAN Continental
55,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
61,Atuona,PF,76.28,light rain,-9.8,-139.0333,Villa Enata
65,Abu Dhabi,AE,87.91,broken clouds,24.4667,54.3667,Beach Rotana
75,Ketchikan,US,77.47,clear sky,55.3422,-131.6461,Snow's Cove Lodge
77,Kota,IN,80.2,overcast clouds,25.1833,75.8333,Hotel Surya Royal
80,Hadejia,NG,77.81,light rain,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
82,Tianpeng,CN,81.63,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
83,Havelock,US,84.16,broken clouds,34.8791,-76.9013,Sherwood Motel
85,Waddan,LY,78.33,clear sky,29.1614,16.139,محل الشريف محمد العايب
86,Pekan,MY,78.91,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
87,Batagay,RU,80.78,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
88,Banjar,ID,83.86,broken clouds,-8.19,114.9675,The Hamsa Resort
91,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
92,Amurzet,RU,82.54,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
93,Kavieng,PG,85.1,few clouds,-2.5744,150.7967,Nusa Island Retreat
94,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
99,Huai Yot,TH,78.42,overcast clouds,7.7893,99.6348,สาม
102,Jacksonville,US,82.98,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
104,Dillon,US,88.14,overcast clouds,34.4166,-79.3712,Dillon Express Inn
112,Port Arthur,CN,79.02,overcast clouds,38.8,121.2667,Friendship Hotel
117,Alabaster,US,86.29,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
118,Praia,CV,79.66,broken clouds,14.9215,-23.5087,LT Aparthotel
121,Rantepao,ID,77.0,light rain,-2.9701,119.8978,Hotel Luta Resort
123,Shimoda,JP,88.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
126,Sao Filipe,CV,78.46,broken clouds,14.8961,-24.4956,Hotel Xaguate
128,Mayo,US,84.2,few clouds,38.8876,-76.5119,Resorts Resource Group International
132,Yazman,PK,89.38,overcast clouds,29.1212,71.7446,Jamal sons showroom
134,Casper,US,84.79,clear sky,42.8666,-106.3131,Ramkota Hotel
138,Kroya,ID,80.76,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
140,Tezu,IN,77.14,overcast clouds,27.9167,96.1667,Circuit House
142,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
143,Ninghai,CN,86.94,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
145,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
147,San Patricio,US,87.75,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
148,Loikaw,MM,77.4,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
151,Lorengau,PG,84.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Qui Nhon,VN,85.62,few clouds,13.7667,109.2333,Seagull Hotel
158,Lahan,NP,85.59,overcast clouds,26.7296,86.4951,Bhattarai Residence
160,North Platte,US,82.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
162,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
163,Sampit,ID,82.17,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
164,Port-Gentil,GA,75.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
167,Andros Town,BS,84.16,clear sky,24.7,-77.7667,Hanks place
169,Buala,SB,85.5,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
171,Kefamenanu,ID,78.82,few clouds,-9.4467,124.4781,Sokowindo Losmen
176,Dehloran,IR,89.89,clear sky,32.6941,47.2679,کافه گیم استورم
177,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
179,Marawi,PH,80.42,broken clouds,7.9986,124.2928,Derogongan Residence
180,Americus,US,82.53,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
187,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
193,Lexington,US,79.92,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
196,Dingle,PH,86.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
197,Bandarbeyla,SO,76.78,overcast clouds,9.4942,50.8122,JABIR HOTEL
200,San Policarpo,PH,83.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
202,Itarema,BR,78.91,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
204,Turbat,PK,80.58,overcast clouds,26.0023,63.044,Mubashar Quarters
206,Rosarito,MX,80.24,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
207,Wahiawa,US,84.52,clear sky,21.5028,-158.0236,The Inn At Schofield
209,Nadadores,MX,89.24,overcast clouds,27.05,-101.6,Hacienda Las Catalinas
210,Lubao,PH,87.51,overcast clouds,14.9167,120.55,Hacienda Gracia
211,Kunyang,CN,87.19,overcast clouds,27.6658,120.5658,Ruisite Car Hotel
212,Linjiang,CN,84.63,overcast clouds,41.8069,126.9078,格林豪泰
213,Seoul,KR,87.19,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
216,San Francisco,US,78.98,smoke,37.7749,-122.4194,Edwardian Hotel
217,Lewistown,US,77.81,few clouds,40.5992,-77.5714,Quality Inn & Suites
219,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
220,Rodrigues Alves,BR,77.99,overcast clouds,-7.738,-72.6509,Pousada Aconchego
222,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
