City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,73.0,86,36,11.07,scattered clouds
1,Nanortalik,GL,60.1432,-45.2371,42.37,86,96,7.67,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,60.39,77,0,4.0,clear sky
3,Butaritari,KI,3.0707,172.7902,81.64,77,19,15.32,light rain
4,Jamestown,US,42.097,-79.2353,72.99,73,100,6.91,overcast clouds
5,Murray Bridge,AU,-35.1167,139.2667,58.12,61,100,7.78,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,87,75,20.71,moderate rain
7,Okhotsk,RU,59.3833,143.3,65.23,77,22,3.62,few clouds
8,Khatanga,RU,71.9667,102.5,68.72,50,76,1.68,broken clouds
9,Provideniya,RU,64.3833,-173.3,46.51,100,100,7.0,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,32.21,few clouds
11,Meulaboh,ID,4.1363,96.1285,78.89,81,96,2.15,light rain
12,Katsuura,JP,35.1333,140.3,84.22,79,83,11.9,broken clouds
13,Kamennogorsk,RU,60.9545,29.1339,54.55,98,28,4.29,scattered clouds
14,Kupang,ID,-10.1667,123.5833,82.9,51,8,16.04,clear sky
15,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3,moderate rain
16,Bani Walid,LY,31.7566,13.9942,77.05,45,0,5.41,clear sky
17,Hennenman,ZA,-27.9765,27.0242,48.69,81,63,9.19,broken clouds
18,Victoria,HK,22.2855,114.1577,90.25,79,0,4.0,clear sky
19,Busselton,AU,-33.65,115.3333,60.62,67,37,12.33,scattered clouds
20,Saskylakh,RU,71.9167,114.0833,68.67,63,94,11.5,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,73.99,69,100,15.61,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,62.53,81,88,14.67,overcast clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,100,7.0,overcast clouds
24,Yellowknife,CA,62.456,-114.3525,66.72,68,75,11.99,broken clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,51.1,58,100,17.0,overcast clouds
26,Severo-Kurilsk,RU,50.6789,156.125,55.31,86,95,6.8,overcast clouds
27,Tuzha,RU,57.6062,47.936,57.04,80,1,4.99,clear sky
28,Stornoway,GB,58.2093,-6.3865,48.92,93,100,1.14,overcast clouds
29,Faanui,PF,-16.4833,-151.75,78.69,76,15,25.5,few clouds
30,Grand-Lahou,CI,5.1367,-5.0242,74.93,85,93,13.67,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,43.63,86,100,8.52,overcast clouds
32,Cherskiy,RU,68.75,161.3,54.46,47,100,4.03,overcast clouds
33,Alofi,NU,-19.0595,-169.9187,78.69,78,20,16.11,few clouds
34,Mataura,NZ,-46.1927,168.8643,47.48,99,100,3.02,overcast clouds
35,Saint-Louis,SN,16.3333,-15.0,80.89,74,67,18.88,broken clouds
36,Samoded,RU,63.6083,40.5111,61.48,95,55,3.33,broken clouds
37,Olinda,BR,-8.0089,-34.8553,73.13,83,100,5.75,overcast clouds
38,Northam,GB,51.0333,-4.2167,55.38,84,100,3.83,overcast clouds
39,Saint-Augustin,CA,51.226,-58.6502,57.92,88,72,5.77,broken clouds
40,Stokmarknes,NO,68.5646,14.9108,48.18,93,75,13.8,light intensity drizzle
41,Kapaa,US,22.0752,-159.319,85.98,64,40,16.11,scattered clouds
42,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
43,Hamilton,US,39.1834,-84.5333,79.65,85,0,5.75,clear sky
44,Tilichiki,RU,60.4667,166.1,49.28,67,100,14.99,overcast clouds
45,Inirida,CO,3.8653,-67.9239,73.36,96,88,1.21,light rain
46,Empalme,MX,27.9667,-110.8167,88.92,79,75,11.5,broken clouds
47,Geraldton,AU,-28.7667,114.6,61.21,72,40,10.36,scattered clouds
48,Torbay,CA,47.6666,-52.7314,64.58,87,20,9.22,few clouds
49,Albany,US,42.6001,-73.9662,73.81,70,100,1.61,overcast clouds
50,Norman Wells,CA,65.282,-126.8329,66.24,39,75,2.3,broken clouds
51,Tura,IN,25.5198,90.2201,79.16,87,67,3.94,light rain
52,New Norfolk,AU,-42.7826,147.0587,52.72,74,92,1.99,overcast clouds
53,Benguela,AO,-12.5763,13.4055,67.33,91,91,2.98,overcast clouds
54,East London,ZA,-33.0153,27.9116,63.88,76,100,8.61,overcast clouds
55,Kahului,US,20.8947,-156.47,87.82,48,20,23.02,few clouds
56,Bredasdorp,ZA,-34.5322,20.0403,48.99,91,0,5.57,clear sky
57,Tasiilaq,GL,65.6145,-37.6368,39.36,96,82,9.33,broken clouds
58,Methven,NZ,-43.6333,171.65,46.02,93,100,1.01,overcast clouds
59,Faya,SA,18.3851,42.4509,64.51,65,100,5.01,overcast clouds
60,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,3.44,broken clouds
61,Atuona,PF,-9.8,-139.0333,76.28,77,18,22.37,light rain
62,Cidreira,BR,-30.1811,-50.2056,60.76,87,100,6.17,overcast clouds
63,Leningradskiy,RU,69.3833,178.4167,39.29,80,96,6.35,overcast clouds
64,Haines Junction,CA,60.7522,-137.5108,55.35,71,100,4.61,overcast clouds
65,Abu Dhabi,AE,24.4667,54.3667,87.91,60,65,11.5,broken clouds
66,Nome,US,64.5011,-165.4064,54.16,82,100,11.5,overcast clouds
67,Arcata,US,40.8665,-124.0828,67.19,82,100,6.91,mist
68,Kaitangata,NZ,-46.2817,169.8464,44.91,95,100,6.73,overcast clouds
69,Buchanan,LR,5.8808,-10.0467,74.7,85,100,10.6,light rain
70,Salmas,IR,38.1973,44.7653,67.46,60,0,3.71,clear sky
71,Touros,BR,-5.1989,-35.4608,73.98,84,11,11.16,few clouds
72,Saldanha,ZA,-33.0117,17.9442,44.65,68,0,4.18,clear sky
73,Tuatapere,NZ,-46.1333,167.6833,44.38,94,100,1.03,light rain
74,Anadyr,RU,64.75,177.4833,52.3,81,75,11.18,broken clouds
75,Ketchikan,US,55.3422,-131.6461,77.47,41,0,9.22,clear sky
76,Castro,BR,-24.7911,-50.0119,57.4,80,97,3.0,overcast clouds
77,Kota,IN,25.1833,75.8333,80.2,82,99,8.43,overcast clouds
78,Harsin,IR,34.2721,47.5861,61.61,18,49,0.87,scattered clouds
79,Xuddur,SO,4.1213,43.8894,66.97,73,46,14.41,scattered clouds
80,Hadejia,NG,12.4498,10.0444,77.81,73,98,7.14,light rain
81,Nemuro,JP,43.3236,145.575,63.9,94,64,6.85,broken clouds
82,Tianpeng,CN,30.9866,103.9393,81.63,68,0,1.7,clear sky
83,Havelock,US,34.8791,-76.9013,84.16,89,63,7.0,broken clouds
84,Witu,KE,-2.3889,40.4382,71.76,81,77,9.71,broken clouds
85,Waddan,LY,29.1614,16.139,78.33,41,0,4.32,clear sky
86,Pekan,MY,3.4836,103.3996,78.91,76,36,5.23,scattered clouds
87,Batagay,RU,67.6333,134.6333,80.78,38,73,1.43,broken clouds
88,Banjar,ID,-8.19,114.9675,83.86,66,67,1.9,broken clouds
89,Amot,NO,59.5714,7.9877,47.77,81,11,3.85,few clouds
90,Ambilobe,MG,-13.2,49.05,63.19,91,6,3.15,clear sky
91,Georgetown,MY,5.4112,100.3354,82.33,85,20,5.75,few clouds
92,Amurzet,RU,47.6967,131.0981,82.54,72,100,4.16,overcast clouds
93,Kavieng,PG,-2.5744,150.7967,85.1,71,20,18.52,few clouds
94,Hilo,US,19.7297,-155.09,87.28,77,75,10.36,broken clouds
95,San Cristobal,VE,7.7669,-72.225,68.18,95,34,2.04,scattered clouds
96,Souillac,MU,-20.5167,57.5167,66.58,94,40,4.61,light rain
97,Padang,ID,-0.9492,100.3543,75.25,61,30,2.15,scattered clouds
98,Iqaluit,CA,63.7506,-68.5145,51.53,71,75,3.44,broken clouds
99,Huai Yot,TH,7.7893,99.6348,78.42,81,85,1.68,overcast clouds
100,Hermanus,ZA,-34.4187,19.2345,52.11,83,0,12.53,clear sky
101,Hobart,AU,-42.8794,147.3294,53.06,66,88,1.99,overcast clouds
102,Jacksonville,US,30.3322,-81.6556,82.98,81,75,18.41,broken clouds
103,Caohai,CN,26.8661,104.2841,62.55,82,100,0.45,overcast clouds
104,Dillon,US,34.4166,-79.3712,88.14,58,93,11.68,overcast clouds
105,Vuktyl,RU,63.8567,57.3094,59.27,63,96,3.56,overcast clouds
106,Avesta,SE,60.1455,16.1679,45.19,79,3,4.54,clear sky
107,Thompson,CA,55.7435,-97.8558,60.96,77,75,4.61,broken clouds
108,Pesqueira,BR,-8.3578,-36.6964,59.76,95,5,3.69,clear sky
109,Serenje,ZM,-13.2325,30.2352,50.02,82,1,6.2,clear sky
110,Maputo,MZ,-25.9653,32.5892,60.48,82,20,1.14,few clouds
111,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,light rain
112,Port Arthur,CN,38.8,121.2667,79.02,89,99,10.31,overcast clouds
113,Teguldet,RU,57.3064,88.1667,66.7,60,69,3.33,broken clouds
114,Sitka,US,57.0531,-135.33,60.69,77,100,3.44,overcast clouds
115,Narrabri,AU,-30.3167,149.7833,59.52,62,5,3.0,clear sky
116,Marechal Candido Rondon,BR,-24.5561,-54.0567,66.36,68,15,5.77,few clouds
117,Alabaster,US,33.2443,-86.8164,86.29,77,0,3.44,clear sky
118,Praia,CV,14.9215,-23.5087,79.66,82,80,0.89,broken clouds
119,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,0,10.36,clear sky
120,Tiksi,RU,71.6872,128.8694,68.67,59,84,5.61,broken clouds
121,Rantepao,ID,-2.9701,119.8978,77.0,73,63,4.16,light rain
122,Coquimbo,CL,-29.9533,-71.3436,55.62,86,100,5.88,overcast clouds
123,Shimoda,JP,34.6667,138.95,88.11,77,94,8.77,overcast clouds
124,Chandler,US,33.3062,-111.8412,95.59,42,40,11.5,scattered clouds
125,Mayumba,GA,-3.432,10.6554,68.68,89,26,1.39,scattered clouds
126,Sao Filipe,CV,14.8961,-24.4956,78.46,88,84,2.57,broken clouds
127,Qaanaaq,GL,77.484,-69.3632,38.41,88,48,4.23,scattered clouds
128,Mayo,US,38.8876,-76.5119,84.2,87,20,4.61,few clouds
129,Manta,EC,-0.95,-80.7333,73.18,83,75,8.05,broken clouds
130,Grindavik,IS,63.8424,-22.4338,49.95,93,75,23.02,broken clouds
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.06,82,0,10.04,clear sky
132,Yazman,PK,29.1212,71.7446,89.38,65,98,8.1,overcast clouds
133,Lebu,CL,-37.6167,-73.65,48.69,86,8,6.33,clear sky
134,Casper,US,42.8666,-106.3131,84.79,30,0,16.11,clear sky
135,Mandalgovi,MN,45.7625,106.2708,64.22,46,100,21.47,overcast clouds
136,Upernavik,GL,72.7868,-56.1549,40.19,85,100,1.74,overcast clouds
137,Mahebourg,MU,-20.4081,57.7,67.24,94,40,4.61,scattered clouds
138,Kroya,ID,-7.6331,109.2461,80.76,76,75,1.72,broken clouds
139,Mount Gambier,AU,-37.8333,140.7667,54.01,59,100,7.2,overcast clouds
140,Tezu,IN,27.9167,96.1667,77.14,96,99,1.19,overcast clouds
141,Aklavik,CA,68.2191,-135.0107,56.23,54,96,14.88,overcast clouds
142,Gat,IL,31.61,34.7642,77.4,69,0,2.55,clear sky
143,Ninghai,CN,29.2892,121.4247,86.94,63,98,4.27,overcast clouds
144,Constantine,DZ,36.365,6.6147,71.01,68,0,4.61,clear sky
145,Port Blair,IN,11.6667,92.75,82.44,83,75,2.3,broken clouds
146,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,0,5.21,clear sky
147,San Patricio,US,28.017,-97.5169,87.75,65,5,12.91,clear sky
148,Loikaw,MM,19.6742,97.2094,77.4,78,2,0.85,clear sky
149,Yar-Sale,RU,66.8333,70.8333,57.27,67,100,10.13,overcast clouds
150,Evensk,RU,61.95,159.2333,58.66,53,68,2.95,broken clouds
151,Lorengau,PG,-2.0226,147.2712,84.63,72,50,12.37,scattered clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,75,13.8,broken clouds
153,Yerbogachen,RU,61.2767,108.0108,67.59,75,24,9.31,few clouds
154,Lagoa,PT,39.05,-27.9833,71.22,81,0,7.74,clear sky
155,Lethem,GY,3.3803,-59.7968,73.47,94,100,1.72,overcast clouds
156,Qui Nhon,VN,13.7667,109.2333,85.62,66,12,1.52,few clouds
157,Acari,PE,-15.4311,-74.6158,61.41,86,43,3.2,scattered clouds
158,Lahan,NP,26.7296,86.4951,85.59,67,98,2.8,overcast clouds
159,Sioux Lookout,CA,50.1001,-91.917,59.07,94,75,5.75,broken clouds
160,North Platte,US,41.1239,-100.7654,82.29,54,0,6.91,clear sky
161,Kodiak,US,57.79,-152.4072,63.91,48,0,12.66,clear sky
162,Avarua,CK,-21.2078,-159.775,77.05,69,75,20.71,broken clouds
163,Sampit,ID,-2.5333,112.95,82.17,79,73,0.29,broken clouds
164,Port-Gentil,GA,-0.7193,8.7815,75.07,80,99,13.49,overcast clouds
165,Buraydah,SA,26.326,43.975,90.05,13,100,7.11,overcast clouds
166,Tessalit,ML,20.1986,1.0114,94.03,20,64,10.22,broken clouds
167,Andros Town,BS,24.7,-77.7667,84.16,78,2,15.05,clear sky
168,Garowe,SO,8.4054,48.4845,72.05,62,78,25.39,broken clouds
169,Buala,SB,-8.145,159.5921,85.5,66,17,8.12,few clouds
170,Airai,TL,-8.9266,125.4092,67.86,49,14,5.14,few clouds
171,Kefamenanu,ID,-9.4467,124.4781,78.82,53,18,13.31,few clouds
172,Bluff,NZ,-46.6,168.3333,47.8,87,100,12.66,overcast clouds
173,Pisco,PE,-13.7,-76.2167,62.65,82,20,2.3,few clouds
174,Esperance,AU,-33.8667,121.9,60.03,53,0,17.87,clear sky
175,Prince Rupert,CA,54.3161,-130.3201,67.69,80,0,14.97,clear sky
176,Dehloran,IR,32.6941,47.2679,89.89,15,5,8.03,clear sky
177,Hithadhoo,MV,-0.6,73.0833,82.35,73,100,12.21,overcast clouds
178,Agirish,RU,61.9247,63.0231,62.33,55,0,3.4,clear sky
179,Marawi,PH,7.9986,124.2928,80.42,70,70,1.63,broken clouds
180,Americus,US,32.0724,-84.2327,82.53,69,0,0.0,clear sky
181,Chokurdakh,RU,70.6333,147.9167,60.15,35,97,13.87,overcast clouds
182,Tangua,BR,-22.7303,-42.7142,62.78,88,0,3.96,clear sky
183,Nuuk,GL,64.1835,-51.7216,41.61,93,75,6.91,broken clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,75,8.86,light intensity drizzle
185,Alice Springs,AU,-23.7,133.8833,56.75,28,3,14.97,clear sky
186,Aitape,PG,-3.1374,142.3475,84.78,71,52,5.88,broken clouds
187,Makakilo City,US,21.3469,-158.0858,86.32,49,0,14.97,clear sky
188,Mumbwa,ZM,-14.9783,27.0619,53.87,75,28,4.12,scattered clouds
189,Deputatskiy,RU,69.3,139.9,60.46,42,81,5.75,broken clouds
190,Murindo,CO,6.9848,-76.7544,73.8,97,100,2.82,overcast clouds
191,Luderitz,NA,-26.6481,15.1594,55.06,74,0,2.3,clear sky
192,Umea,SE,63.8284,20.2597,50.92,76,100,11.5,overcast clouds
193,Lexington,US,37.9887,-84.4777,79.92,87,20,0.0,few clouds
194,Registro,BR,-24.4875,-47.8436,59.49,98,38,1.39,scattered clouds
195,Kiruna,SE,67.8557,20.2251,47.32,71,100,6.91,overcast clouds
196,Dingle,PH,10.9995,122.6711,86.04,73,100,9.1,overcast clouds
197,Bandarbeyla,SO,9.4942,50.8122,76.78,69,99,25.03,overcast clouds
198,Antalaha,MG,-14.9003,50.2788,66.97,91,100,5.1,light rain
199,Raposa,BR,-6.5167,-44.1833,71.94,48,48,5.28,scattered clouds
200,San Policarpo,PH,12.1791,125.5072,83.41,82,100,6.96,overcast clouds
201,Shakawe,BW,-18.3667,21.85,52.63,47,0,5.64,clear sky
202,Itarema,BR,-2.9248,-39.9167,78.91,78,100,14.63,overcast clouds
203,Warrnambool,AU,-38.3833,142.4833,50.85,78,100,8.66,overcast clouds
204,Turbat,PK,26.0023,63.044,80.58,81,100,1.61,overcast clouds
205,Belyy Yar,RU,53.6039,91.3903,62.85,75,0,0.0,clear sky
206,Rosarito,MX,32.3333,-117.0333,80.24,73,19,10.11,few clouds
207,Wahiawa,US,21.5028,-158.0236,84.52,53,0,12.66,clear sky
208,Barrow,US,71.2906,-156.7887,33.82,100,100,17.27,mist
209,Nadadores,MX,27.05,-101.6,89.24,35,90,14.79,overcast clouds
210,Lubao,PH,14.9167,120.55,87.51,73,94,4.14,overcast clouds
211,Kunyang,CN,27.6658,120.5658,87.19,56,100,3.49,overcast clouds
212,Linjiang,CN,41.8069,126.9078,84.63,58,100,1.72,overcast clouds
213,Seoul,KR,37.5683,126.9778,87.19,58,20,12.66,few clouds
214,Codrington,AU,-38.2667,141.9667,51.04,77,100,8.55,overcast clouds
215,Alghero,IT,40.5589,8.3181,66.29,94,0,1.14,clear sky
216,San Francisco,US,37.7749,-122.4194,78.98,82,20,23.02,smoke
217,Lewistown,US,40.5992,-77.5714,77.81,100,20,0.0,few clouds
218,Longyan,CN,25.1072,117.0225,92.01,49,2,2.01,clear sky
219,Kununurra,AU,-15.7667,128.7333,75.18,20,5,10.36,clear sky
220,Rodrigues Alves,BR,-7.738,-72.6509,77.99,69,91,0.85,overcast clouds
221,Carnarvon,AU,-24.8667,113.6333,72.21,48,100,1.74,overcast clouds
222,Natal,BR,-5.795,-35.2094,75.42,88,0,5.75,clear sky
223,Kiama,AU,-34.6833,150.8667,65.37,55,11,7.0,few clouds
224,Qasigiannguit,GL,68.8193,-51.1922,44.85,93,100,1.1,overcast clouds
225,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,94,0,6.91,clear sky
226,Gander,CA,48.9682,-54.5906,60.93,100,100,5.75,overcast clouds
227,The Valley,AI,18.217,-63.0578,82.26,73,0,19.77,clear sky
228,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,19,7.27,light rain
229,Basco,PH,20.4487,121.9702,85.39,77,95,12.77,overcast clouds
230,Ust-Omchug,RU,61.15,149.6333,62.11,35,60,3.49,broken clouds
231,Verkh-Suetka,RU,53.3,80.05,72.95,54,76,12.26,broken clouds
232,Flinders,AU,-34.5833,150.8552,66.06,56,10,5.99,clear sky
233,Matamoros,MX,25.5333,-103.25,84.31,37,75,24.16,dust
234,Andros,GR,37.8333,24.9333,79.74,55,0,11.99,clear sky
235,Soloneshnoye,RU,51.6544,84.3197,69.19,60,51,2.89,broken clouds
236,Cabo San Lucas,MX,22.8909,-109.9124,88.11,51,20,14.97,few clouds
237,Dhidhdhoo,MV,6.8833,73.1,81.5,76,34,15.99,scattered clouds
238,Isangel,VU,-19.55,169.2667,77.47,82,100,12.08,moderate rain
239,Marica,BR,-22.9194,-42.8186,72.48,82,0,8.23,clear sky
240,Zemio,CF,5.0314,25.1361,68.34,98,100,3.78,light rain
241,Fairbanks,US,64.8378,-147.7164,61.09,61,75,12.66,broken clouds
242,Grand Gaube,MU,-20.0064,57.6608,67.37,79,3,1.99,clear sky
243,Oyama,JP,36.3,139.8,89.58,65,100,1.03,overcast clouds
244,Shelui,TZ,-4.3667,34.2,64.71,66,78,7.61,broken clouds
245,Dikson,RU,73.5069,80.5464,40.64,94,96,12.66,overcast clouds
246,Tukrah,LY,32.5341,20.5791,77.94,82,0,4.68,clear sky
247,Cap Malheureux,MU,-19.9842,57.6142,67.46,79,2,3.0,clear sky
248,Vohibinany,MG,-17.35,49.0333,62.87,86,89,2.46,overcast clouds
249,Pangnirtung,CA,66.1451,-65.7125,54.72,67,100,1.83,overcast clouds
250,Shingu,JP,33.7333,135.9833,84.45,74,45,6.35,scattered clouds
